Date,Open,High,Low,Close,Adj Close,Volume
01-12-2016,37.216751,37.543694,36.290421,36.590118,35.869896,1688975
02-12-2016,36.399403,38.497272,36.235931,37.080528,36.350658,8445084
05-12-2016,37.053284,39.042171,36.562874,37.95237,37.205334,8203002
06-12-2016,38.687988,38.769722,37.816147,38.034103,37.285461,4109816
07-12-2016,38.687988,38.824211,37.380222,38.061352,37.312172,3403877
08-12-2016,38.470024,38.687988,38.224819,38.524517,37.76622,2653869
09-12-2016,38.687988,39.232887,38.606251,38.905949,38.140148,3444567
12-12-2016,38.742477,39.77779,38.44278,38.769722,38.006599,4230489
13-12-2016,38.851456,39.151154,38.197575,38.633495,37.873055,2127965
14-12-2016,38.633495,39.123909,38.44278,38.660744,37.899765,2190327
15-12-2016,38.361046,40.2682,38.197575,39.723297,38.941402,5888109
16-12-2016,39.99575,40.322689,39.505341,40.077484,39.28862,4653841
19-12-2016,39.832279,40.649632,39.641563,39.859524,39.074951,3108930
20-12-2016,39.77779,40.104729,38.960438,39.369114,38.594193,2956049
21-12-2016,39.505341,40.458916,39.287376,40.104729,39.315327,2934843
22-12-2016,39.941261,40.2682,38.8787,39.06942,38.300396,1856730
23-12-2016,39.042171,39.341869,38.252068,38.8787,38.113434,2004243
26-12-2016,38.524517,38.8787,37.625427,37.979614,37.232048,1737056
27-12-2016,38.088596,38.851456,37.407471,38.633495,37.873055,2230132
28-12-2016,38.851456,39.151154,38.415535,38.579006,37.819637,2156431
29-12-2016,38.415535,40.186466,38.224819,39.805035,39.021534,3286922
30-12-2016,39.968506,42.039127,39.587074,41.712189,40.891155,9296640
02-01-2017,42.393314,42.393314,41.603207,41.930149,41.10482,4214451
03-01-2017,42.011883,42.175354,41.303513,41.712189,40.891155,2311286
04-01-2017,41.957394,42.938217,41.848415,42.393314,41.558868,3999976
05-01-2017,42.774746,43.374138,42.611275,43.128933,42.280003,4236903
06-01-2017,43.156178,43.537609,42.720257,42.85648,42.012917,2129980
09-01-2017,42.801991,43.346893,42.638519,42.910973,42.06633,1553096
10-01-2017,42.801991,44.245979,42.774746,43.701077,42.840885,5866204
11-01-2017,43.891792,44.46394,43.673832,44.055264,43.188107,2756868
12-01-2017,43.919041,44.273224,43.074444,43.673832,42.814178,2850672
13-01-2017,43.619343,43.864548,42.257092,42.774746,41.932796,3402978
16-01-2017,42.720257,43.810059,42.284336,43.483116,42.62722,2758705
17-01-2017,43.537609,43.728325,42.829235,43.019951,42.173168,1636711
18-01-2017,43.101688,43.97353,42.720257,43.156178,42.306717,2935552
19-01-2017,43.319649,44.136997,42.938217,43.919041,43.054562,2358482
20-01-2017,44.109753,44.6819,41.957394,42.229843,41.398617,5478077
23-01-2017,42.175354,43.047195,41.957394,42.611275,41.772537,1623211
24-01-2017,42.665768,43.728325,42.665768,43.401382,42.547096,2803579
25-01-2017,43.510365,43.782814,42.938217,43.592098,42.734058,3122787
27-01-2017,43.646587,51.084492,43.646587,50.457851,49.464664,45884559
30-01-2017,50.076424,51.166225,49.422543,50.321629,49.331131,17647258
31-01-2017,50.130913,50.921021,46.616299,47.48814,46.553413,19334140
01-02-2017,47.951309,49.749481,47.515388,49.504276,48.529861,12838038
02-02-2017,49.259071,53.209606,48.659679,51.19347,50.185806,24532952
03-02-2017,51.465919,51.956333,50.376118,51.520412,50.506313,8428402
06-02-2017,51.820107,54.599102,51.574902,52.964397,51.921875,14001719
07-02-2017,53.345829,53.345829,49.449787,50.049175,49.064034,13854294
08-02-2017,50.376118,51.820107,49.58601,50.185402,49.197578,11251319
